time,open,high,low,close,tick_volume,spread,real_volume
2026-07-13 00:00:00,161.665,161.668,161.665,161.668,2,110,0
2026-07-13 00:05:00,161.664,161.669,161.645,161.645,13,71,0
2026-07-13 00:10:00,161.645,161.645,161.645,161.645,5,88,0
2026-07-13 00:15:00,161.645,161.704,161.636,161.684,23,52,0
2026-07-13 00:20:00,161.684,161.695,161.678,161.695,28,95,0
2026-07-13 00:25:00,161.687,161.709,161.674,161.704,19,75,0
2026-07-13 00:30:00,161.704,161.715,161.693,161.706,142,67,0
2026-07-13 00:35:00,161.708,161.754,161.706,161.754,182,34,0
2026-07-13 00:40:00,161.754,161.779,161.73,161.756,120,34,0
2026-07-13 00:45:00,161.757,161.764,161.736,161.754,109,55,0
2026-07-13 00:50:00,161.745,161.768,161.734,161.736,143,53,0
2026-07-13 00:55:00,161.732,161.756,161.718,161.728,196,64,0
2026-07-13 01:00:00,161.728,161.94,161.728,161.878,458,19,0
2026-07-13 01:05:00,161.88,161.96,161.872,161.919,220,15,0
2026-07-13 01:10:00,161.918,162.022,161.893,161.986,399,7,0
2026-07-13 01:15:00,161.986,162.006,161.953,161.974,275,21,0
2026-07-13 01:20:00,161.974,162.014,161.973,161.988,244,17,0
2026-07-13 01:25:00,161.988,161.99,161.923,161.939,173,21,0
2026-07-13 01:30:00,161.939,161.979,161.939,161.962,200,21,0
2026-07-13 01:35:00,161.962,161.991,161.949,161.988,232,19,0
2026-07-13 01:40:00,161.987,162.018,161.985,162.01,207,18,0
2026-07-13 01:45:00,162.01,162.02,161.994,161.996,192,4,0
2026-07-13 01:50:00,161.995,162.061,161.991,162.025,256,4,0
2026-07-13 01:55:00,162.025,162.06,162.014,162.021,282,4,0
2026-07-13 02:00:00,162.021,162.066,162.021,162.058,286,4,0
2026-07-13 02:05:00,162.059,162.067,162.036,162.042,206,4,0
2026-07-13 02:10:00,162.042,162.05,161.991,161.999,257,4,0
