0,predicted,actual,se,mse
13,159.27999877929688,159.296,0.0002560390639898687,
14,159.28079223632812,159.3,0.00036893818527503774,
15,159.28175354003906,159.299,0.0002974403811844478,
16,159.28262329101562,159.291,7.016925340885552e-05,
17,159.2830352783203,159.287,1.571901799743275e-05,
18,159.28323364257812,159.29,4.57835927604552e-05,
19,159.2835693359375,159.278,3.101750278482271e-05,
20,159.28329467773438,159.254,0.0008581781435614326,
21,159.28182983398438,159.25,0.0010131383314728737,
22,159.28024291992188,159.249,0.0009761200452449921,
23,159.2786865234375,159.264,0.00021569397067994296,
24,159.2779541015625,159.259,0.0003592579660420907,0.00037562462120018766
25,159.27700805664062,159.277,6.490945837289707e-11,
26,159.27700805664062,159.278,9.839516281914702e-07,
27,159.2770538330078,159.271,3.6648894086642564e-05,
28,159.27674865722656,159.272,2.2549745455466314e-05,
29,159.27650451660156,159.275,2.26357020436007e-06,
30,159.27642822265625,159.288,0.0001339060308935784,
31,159.27700805664062,159.289,0.0001438067055341528,
32,159.27760314941406,159.285,5.4713398590633484e-05,
33,159.27796936035156,159.273,2.469454230371979e-05,
34,159.27772521972656,159.221,0.0032177505530263826,
35,159.27488708496094,159.212,0.003954785454885544,
36,159.27174377441406,159.164,0.011608720924991133,0.0016000686530424385
37,159.266357421875,159.181,0.0072858894691447485,
38,159.2620849609375,159.16,0.010421339249611597,
39,159.25698852539062,159.186,0.0050393707371344095,
40,159.25343322753906,159.198,0.0030728427153966452,
41,159.2506561279297,159.194,0.00320991683198643,
42,159.24781799316406,159.195,0.0027897404018796734,
43,159.24517822265625,159.183,0.0038661313726911055,
44,159.2420654296875,159.112,0.016917015999795365,
45,159.23556518554688,159.082,0.023582266212048102,
46,159.22789001464844,159.098,0.016871415905367882,
47,159.2213897705078,159.154,0.004541381169096126,
48,159.218017578125,159.182,0.0012972659339913466,0.008241214666511952
49,159.21621704101562,159.147,0.00479099876695991,
50,159.21275329589844,159.137,0.005738561839476159,
51,159.20896911621094,159.125,0.007050812477245927,
52,159.20477294921875,159.108,0.009365003700493974,
53,159.19993591308594,159.11,0.00808846846259885,
54,159.1954345703125,159.101,0.008917888070106678,
55,159.1907196044922,159.096,0.008971803475155738,
56,159.1859893798828,159.141,0.002024044302240812,
57,159.18374633789062,159.138,0.002092727430402754,
58,159.18145751953125,159.152,0.0008677454569347521,
59,159.1799774169922,159.179,9.55343976612859e-07,
60,159.179931640625,159.194,0.0001979187355038241,0.004842244005091332
61,159.18063354492188,159.21,0.000862388683856001,
62,159.18209838867188,159.266,0.007039480383454266,
63,159.18629455566406,159.264,0.006038136079447036,
64,159.190185546875,159.303,0.012727100833892207,
65,159.19583129882812,159.308,0.01258181752258376,
66,159.20144653320312,159.31,0.011783855153620737,
67,159.20687866210938,159.296,0.007942612867413573,
68,159.21133422851562,159.299,0.007685287489951813,
69,159.21571350097656,159.3,0.007104213917629847,
70,159.2199249267578,159.29,0.004910515889896827,
71,159.2234344482422,159.296,0.005265759301914643,
72,159.22706604003906,159.264,0.0013641173983968734,0.007108773793504798
73,159.22891235351562,159.265,0.0013023182287802387,
74,159.230712890625,159.25,0.0003719925880432129,
75,159.23167419433594,159.236,1.8712594643148652e-05,
76,159.2318878173828,159.217,0.00022164710642358812,
77,159.23114013671875,159.211,0.0004056251070494291,
78,159.23013305664062,159.172,0.003379452274382458,
79,159.22723388671875,159.182,0.002046104507685798,
80,159.2249755859375,159.211,0.00019531700229609187,
81,159.22427368164062,159.21,0.000203737987577688,
82,159.2235565185547,159.208,0.000242005269542386,
83,159.2227783203125,159.211,0.00013872882938355016,
84,159.22218322753906,159.207,0.00023053039850313924,0.000729680991192561
85,159.22142028808594,159.205,0.0002696258608247703,
86,159.22059631347656,159.207,0.00018485974015312819,
87,159.21990966796875,159.191,0.0008357689020632251,
88,159.2184600830078,159.181,0.001403257818951334,
89,159.21658325195312,159.181,0.0012661678195587489,
90,159.2147979736328,159.213,3.2327091843110545e-06,
91,159.21470642089844,159.211,1.3737555876279857e-05,
92,159.2145233154297,159.241,0.0007010148258365584,
93,159.21585083007812,159.249,0.0010988674665090255,
94,159.21751403808594,159.251,0.001121309645310364,
95,159.2191925048828,159.23,0.0001168019507078105,
96,159.2197265625,159.211,7.615289306618402e-05,0.000590899765670145
97,159.2192840576172,159.212,5.305749537066624e-05,
98,159.2189178466797,159.207,0.00014203506948069013,
99,159.21832275390625,159.209,8.691374039644028e-05,
100,159.2178497314453,159.209,7.831774665409653e-05,
101,159.2174072265625,159.206,0.00013012481784845976,
102,159.2168426513672,159.194,0.0005217867214834027,
103,159.2156982421875,159.207,7.565941715251554e-05,
104,159.21527099609375,159.185,0.00091633320450769,
105,159.21376037597656,159.181,0.0010732422341249736,
106,159.21212768554688,159.23,0.000319419623911015,
107,159.21302795410156,159.23,0.00028805034197832184,
108,159.21388244628906,159.208,3.46031743437239e-05,0.00030996196560433297
109,159.21359252929688,159.217,1.1610856592743506e-05,
110,159.21376037597656,159.232,0.0003326838845163335,
111,159.2146759033203,159.236,0.0004547170992042328,
112,159.2157440185547,159.24,0.0005883526358757855,
113,159.21694946289062,159.225,6.481114774933246e-05,
114,159.21734619140625,159.243,0.0006581178953645047,
115,159.2186279296875,159.241,0.0005005095300680644,
116,159.21974182128906,159.226,3.9164800778019964e-05,
117,159.22006225585938,159.225,2.4381317198220383e-05,
118,159.22030639648438,159.233,0.00016112757021199126,
119,159.220947265625,159.223,4.213718414360782e-06,
120,159.22105407714844,159.31,0.007911377191916513,0.0008959223039908419
121,159.22549438476562,159.303,0.006007120392858559,
122,159.2293701171875,159.324,0.008954814721109807,
123,159.23410034179688,159.311,0.005913557431758534,
124,159.23794555664062,159.313,0.005633169467983855,
125,159.24169921875,159.294,0.002735371719361517,
126,159.2443084716797,159.293,0.0023708649301684144,
127,159.2467498779297,159.286,0.0015405720825345396,
128,159.24871826171875,159.326,0.005972467071770603,
129,159.25257873535156,159.338,0.007296792454137349,
130,159.25685119628906,159.33,0.005350747484343094,
131,159.26051330566406,159.378,0.013803123345982696,
132,159.26638793945312,159.364,0.009528114364207634,0.006258892955518051
133,159.27127075195312,159.35,0.006198294498025476,
134,159.27520751953125,159.358,0.006854594822169028,
135,159.2793426513672,159.357,0.00603066379667808,
136,159.28321838378906,159.345,0.003816968101635435,
137,159.2863006591797,159.329,0.0018232337064898656,
138,159.28843688964844,159.308,0.00038271528662712714,
139,159.28941345214844,159.313,0.0005563252395534899,
140,159.29058837890625,159.311,0.00041663427567510767,
141,159.29161071777344,159.336,0.0019704083765905477,
142,159.2938232421875,159.358,0.004118656243324805,
143,159.29702758789062,159.37,0.005324972929061123,
144,159.30067443847656,159.387,0.007452102572336872,0.003745464154013913
145,159.30499267578125,159.382,0.0059301279833324505,
146,159.308837890625,159.378,0.004783397373197513,
147,159.3123016357422,159.368,0.0031023077809954076,
148,159.31509399414062,159.358,0.001840925338805073,
149,159.31724548339844,159.35,0.001072858357801661,
