time,open,high,low,close,tick_volume,spread,real_volume
2026-08-11 00:00:00,159.282,159.282,159.062,159.185,51,37,0
2026-08-11 00:05:00,159.185,159.218,159.183,159.209,13,101,0
2026-08-11 00:10:00,159.209,159.209,159.189,159.202,32,140,0
2026-08-11 00:15:00,159.202,159.254,159.188,159.254,65,98,0
2026-08-11 00:20:00,159.244,159.254,159.209,159.212,27,98,0
2026-08-11 00:25:00,159.214,159.237,159.197,159.226,69,67,0
2026-08-11 00:30:00,159.226,159.244,159.208,159.226,87,48,0
2026-08-11 00:35:00,159.226,159.227,159.203,159.224,30,58,0
2026-08-11 00:40:00,159.225,159.248,159.218,159.244,83,59,0
2026-08-11 00:45:00,159.237,159.251,159.229,159.229,88,75,0
2026-08-11 00:50:00,159.229,159.259,159.211,159.211,106,69,0
2026-08-11 00:55:00,159.218,159.232,159.204,159.219,127,104,0
2026-08-11 01:00:00,159.219,159.28,159.214,159.279,355,24,0
2026-08-11 01:05:00,159.279,159.296,159.279,159.292,109,27,0
2026-08-11 01:10:00,159.293,159.3,159.29,159.296,72,28,0
2026-08-11 01:15:00,159.295,159.299,159.285,159.285,118,19,0
2026-08-11 01:20:00,159.289,159.291,159.25,159.279,73,13,0
2026-08-11 01:25:00,159.278,159.287,159.273,159.277,89,17,0
2026-08-11 01:30:00,159.277,159.29,159.262,159.263,150,14,0
2026-08-11 01:35:00,159.263,159.278,159.231,159.241,165,15,0
2026-08-11 01:40:00,159.241,159.254,159.236,159.236,125,21,0
2026-08-11 01:45:00,159.236,159.25,159.236,159.248,78,4,0
2026-08-11 01:50:00,159.248,159.249,159.236,159.245,53,4,0
2026-08-11 01:55:00,159.245,159.264,159.234,159.247,76,5,0
2026-08-11 02:00:00,159.247,159.259,159.237,159.255,112,4,0
2026-08-11 02:05:00,159.255,159.277,159.248,159.274,134,4,0
2026-08-11 02:10:00,159.274,159.278,159.257,159.262,140,4,0
2026-08-11 02:15:00,159.262,159.271,159.251,159.261,133,4,0
2026-08-11 02:20:00,159.261,159.272,159.248,159.26,185,4,0
2026-08-11 02:25:00,159.26,159.275,159.252,159.271,145,4,0
2026-08-11 02:30:00,159.269,159.288,159.269,159.285,134,4,0
2026-08-11 02:35:00,159.285,159.289,159.26,159.273,106,4,0
2026-08-11 02:40:00,159.273,159.285,159.272,159.273,149,4,0
2026-08-11 02:45:00,159.273,159.273,159.184,159.186,277,4,0
2026-08-11 02:50:00,159.185,159.221,159.185,159.209,282,4,0
2026-08-11 02:55:00,159.209,159.212,159.129,159.157,339,4,0
2026-08-11 03:00:00,159.157,159.164,159.121,159.136,573,3,0
2026-08-11 03:05:00,159.136,159.181,159.135,159.149,332,3,0
2026-08-11 03:10:00,159.148,159.16,159.142,159.147,264,3,0
2026-08-11 03:15:00,159.146,159.186,159.146,159.183,560,3,0
2026-08-11 03:20:00,159.183,159.198,159.16,159.193,346,3,0
2026-08-11 03:25:00,159.193,159.194,159.176,159.192,224,3,0
2026-08-11 03:30:00,159.193,159.195,159.171,159.183,247,3,0
2026-08-11 03:35:00,159.182,159.183,159.077,159.089,293,3,0
2026-08-11 03:40:00,159.089,159.112,158.926,159.014,1155,3,0
2026-08-11 03:45:00,159.014,159.082,159.006,159.062,532,3,0
2026-08-11 03:50:00,159.062,159.098,159.033,159.082,465,3,0
2026-08-11 03:55:00,159.082,159.154,159.055,159.148,631,3,0
2026-08-11 04:00:00,159.148,159.182,159.133,159.139,469,3,0
2026-08-11 04:05:00,159.138,159.147,159.081,159.107,428,3,0
2026-08-11 04:10:00,159.108,159.137,159.107,159.119,378,3,0
2026-08-11 04:15:00,159.119,159.125,159.078,159.081,385,3,0
2026-08-11 04:20:00,159.083,159.108,159.07,159.104,369,3,0
2026-08-11 04:25:00,159.104,159.11,159.075,159.083,342,3,0
2026-08-11 04:30:00,159.082,159.101,159.075,159.076,380,3,0
2026-08-11 04:35:00,159.076,159.096,159.073,159.087,277,3,0
2026-08-11 04:40:00,159.085,159.141,159.083,159.136,290,3,0
2026-08-11 04:45:00,159.135,159.138,159.106,159.114,271,3,0
2026-08-11 04:50:00,159.114,159.152,159.114,159.139,241,3,0
2026-08-11 04:55:00,159.139,159.179,159.135,159.171,204,3,0
2026-08-11 05:00:00,159.17,159.194,159.161,159.182,285,3,0
2026-08-11 05:05:00,159.182,159.21,159.179,159.208,275,3,0
2026-08-11 05:10:00,159.209,159.266,159.207,159.223,316,3,0
2026-08-11 05:15:00,159.223,159.264,159.214,159.255,261,3,0
2026-08-11 05:20:00,159.255,159.303,159.247,159.302,513,3,0
2026-08-11 05:25:00,159.301,159.308,159.257,159.284,423,3,0
2026-08-11 05:30:00,159.284,159.31,159.281,159.286,358,3,0
2026-08-11 05:35:00,159.286,159.296,159.27,159.273,268,3,0
