0,predicted,actual,se,mse
1,,159.28,,
2,,159.296,,
3,,159.3,,
4,,159.299,,
5,,159.291,,
6,,159.287,,
7,,159.29,,
8,,159.278,,
9,,159.254,,
10,,159.25,,
11,,159.249,,
12,,159.264,,
13,159.276,159.259,0.0,0.0
14,159.279,159.277,0.0,
15,159.276,159.278,0.0,
16,159.279,159.271,0.0,
17,159.276,159.272,0.0,
18,159.276,159.275,0.0,
19,159.276,159.288,0.0,
20,159.276,159.289,0.0,
21,159.279,159.285,0.0,
22,159.279,159.273,0.0,
23,159.279,159.221,0.003,
24,159.276,159.212,0.004,
25,159.275,159.164,0.012,0.001
26,159.275,159.181,0.008,
27,159.275,159.16,0.013,
28,159.276,159.186,0.008,
29,159.276,159.198,0.006,
30,159.276,159.194,0.006,
31,159.276,159.195,0.006,
32,159.276,159.183,0.008,
33,159.277,159.112,0.027,
34,159.277,159.082,0.038,
35,159.277,159.098,0.032,
36,159.277,159.154,0.015,
37,159.266,159.182,0.007,0.014
38,159.266,159.147,0.014,
39,159.266,159.137,0.016,
40,159.266,159.125,0.019,
41,159.266,159.108,0.025,
42,159.266,159.11,0.024,
43,159.266,159.101,0.027,
44,159.266,159.096,0.028,
45,159.266,159.141,0.015,
46,159.266,159.138,0.016,
47,159.266,159.152,0.013,
48,159.266,159.179,0.007,
49,159.254,159.194,0.003,0.017
50,159.254,159.21,0.001,
51,159.254,159.266,0.0,
52,159.254,159.264,0.0,
53,159.254,159.303,0.002,
54,159.254,159.308,0.002,
55,159.254,159.31,0.003,
56,159.254,159.296,0.001,
57,159.249,159.299,0.002,
58,159.249,159.3,0.002,
59,159.249,159.29,0.001,
60,159.249,159.296,0.002,
61,159.253,159.264,0.0,0.001
62,159.253,159.265,0.0,
63,159.253,159.25,0.0,
64,159.253,159.236,0.0,
65,159.249,159.217,0.001,
66,159.256,159.211,0.002,
67,159.256,159.172,0.007,
68,159.257,159.182,0.005,
69,159.257,159.211,0.002,
70,159.257,159.21,0.002,
71,159.257,159.208,0.002,
72,159.257,159.211,0.002,
73,159.253,159.207,0.002,0.002
74,159.257,159.205,0.002,
75,159.257,159.207,0.002,
76,159.257,159.191,0.004,
77,159.259,159.181,0.006,
78,159.259,159.181,0.006,
79,159.259,159.213,0.002,
80,159.259,159.211,0.002,
81,159.259,159.241,0.0,
82,159.259,159.249,0.0,
83,159.259,159.251,0.0,
84,159.259,159.23,0.0,
85,159.257,159.211,0.002,0.002
86,159.253,159.212,0.001,
87,159.253,159.207,0.002,
88,159.253,159.209,0.002,
89,159.253,159.209,0.002,
90,159.253,159.206,0.002,
91,159.253,159.194,0.003,
92,159.252,159.207,0.002,
93,159.253,159.185,0.004,
94,159.252,159.181,0.005,
95,159.252,159.23,0.0,
96,159.252,159.23,0.0,
97,159.253,159.208,0.002,0.002
98,159.249,159.217,0.001,
99,159.249,159.232,0.0,
100,159.249,159.236,0.0,
101,159.253,159.24,0.0,
102,159.253,159.225,0.0,
103,159.253,159.243,0.0,
104,159.253,159.241,0.0,
105,159.253,159.226,0.0,
106,159.253,159.225,0.0,
107,159.253,159.233,0.0,
108,159.251,159.223,0.0,
109,159.25,159.31,0.003,0.0
110,159.25,159.303,0.002,
111,159.242,159.324,0.006,
112,159.249,159.311,0.003,
113,159.247,159.313,0.004,
114,159.244,159.294,0.002,
115,159.244,159.293,0.002,
116,159.247,159.286,0.001,
117,159.236,159.326,0.008,
118,159.244,159.338,0.008,
119,159.244,159.33,0.007,
120,159.247,159.378,0.017,
121,159.24,159.364,0.015,0.006
122,159.246,159.35,0.01,
123,159.246,159.358,0.012,
124,159.246,159.357,0.012,
125,159.246,159.345,0.009,
126,159.246,159.329,0.006,
127,159.246,159.308,0.003,
128,159.246,159.313,0.004,
129,159.246,159.311,0.004,
130,159.246,159.336,0.007,
131,159.246,159.358,0.012,
132,159.246,159.37,0.015,
133,159.255,159.387,0.017,0.009
134,159.255,159.382,0.015,
135,159.255,159.378,0.014,
136,159.255,159.368,0.012,
137,159.255,159.358,0.01,
138,159.255,159.35,0.008,
139,159.255,159.335,0.006,
140,159.255,159.326,0.004,
141,159.255,159.326,0.004,
142,159.255,159.322,0.004,
143,159.255,159.298,0.001,
144,159.255,159.297,0.001,
145,159.258,159.32,0.003,0.006
146,159.262,159.314,0.002,
147,159.264,159.32,0.003,
148,159.268,159.331,0.003,
149,159.264,159.331,0.004,
150,159.264,159.309,0.001,
151,159.264,159.283,0.0,
152,159.264,159.271,0.0,
153,159.264,159.266,0.0,
154,159.268,159.261,0.0,
155,159.271,159.279,0.0,
156,159.271,159.269,0.0,
157,159.272,159.245,0.0,0.001
158,159.272,159.134,0.019,
159,159.268,159.124,0.02,
160,159.267,159.124,0.02,
161,159.267,159.156,0.012,
162,159.26,159.192,0.004,
163,159.267,159.212,0.003,
164,159.267,159.199,0.004,
165,159.271,159.212,0.003,
166,159.271,159.24,0.001,
167,159.272,159.25,0.0,
168,159.274,159.254,0.0,
169,159.268,159.277,0.0,0.007
170,159.266,159.259,0.0,
171,159.266,159.273,0.0,
172,159.274,159.289,0.0,
173,159.272,159.36,0.007,
174,159.274,159.348,0.005,
175,159.269,159.312,0.001,
176,159.265,159.29,0.0,
177,159.261,159.282,0.0,
178,159.263,159.273,0.0,
179,159.266,159.302,0.001,
180,159.266,159.283,0.0,
181,159.264,159.271,0.0,0.001
182,159.262,159.224,0.001,
183,159.26,159.222,0.001,
184,159.265,159.242,0.0,
185,159.254,159.213,0.001,
186,159.253,159.225,0.0,
187,159.256,159.258,0.0,
188,159.267,159.257,0.0,
189,159.27,159.248,0.0,
190,159.267,159.245,0.0,
191,159.27,159.233,0.001,
192,159.271,159.244,0.0,
193,159.257,159.276,0.0,0.0
194,159.26,159.293,0.001,
195,159.271,159.281,0.0,
196,159.271,159.271,0.0,
197,159.266,159.257,0.0,
198,159.262,159.269,0.0,
199,159.266,159.259,0.0,
200,159.272,159.24,0.001,
201,159.269,159.239,0.0,
202,159.262,159.246,0.0,
203,159.263,159.258,0.0,
204,159.261,159.252,0.0,
205,159.263,159.237,0.0,0.0
206,159.266,159.249,0.0,
207,159.267,159.256,0.0,
208,159.266,159.27,0.0,
209,159.27,159.256,0.0,
210,159.268,159.268,0.0,
211,159.275,159.31,0.001,
212,159.27,159.308,0.001,
213,159.269,159.325,0.003,
214,159.268,159.322,0.002,
215,159.266,159.31,0.001,
216,159.263,159.288,0.0,
217,159.266,159.258,0.0,0.0
218,159.262,159.251,0.0,
219,159.27,159.244,0.0,
220,159.258,159.244,0.0,
221,159.268,159.253,0.0,
222,159.267,159.254,0.0,
223,159.258,159.257,0.0,
224,159.25,159.249,0.0,
225,159.263,159.247,0.0,
226,159.266,159.252,0.0,
227,159.266,159.267,0.0,
228,159.268,159.268,0.0,
229,159.271,159.28,0.0,0.0
230,159.275,159.3,0.0,
231,159.275,159.31,0.001,
232,159.274,159.327,0.002,
233,159.275,159.337,0.003,
234,159.267,159.35,0.006,
235,159.267,159.349,0.006,
236,159.265,159.35,0.007,
237,159.265,159.334,0.004,
238,159.265,159.316,0.002,
239,159.267,159.308,0.001,
240,159.263,159.316,0.002,
241,159.269,159.323,0.002,0.003
242,159.274,159.325,0.002,
243,159.261,159.331,0.004,
244,159.261,159.345,0.006,
245,159.261,159.338,0.005,
246,159.261,159.334,0.005,
247,159.261,159.334,0.005,
248,159.265,159.301,0.001,
249,159.261,159.302,0.001,
250,159.27,159.29,0.0,
251,159.262,159.275,0.0,
252,159.265,159.277,0.0,
253,159.266,159.287,0.0,0.002
254,159.266,159.287,0.0,
255,159.27,159.276,0.0,
256,159.268,159.296,0.0,
257,159.27,159.291,0.0,
258,159.27,159.289,0.0,
259,159.278,159.288,0.0,
260,159.274,159.275,0.0,
261,159.273,159.274,0.0,
262,159.274,159.273,0.0,
263,159.274,159.265,0.0,
264,159.276,159.305,0.0,
265,159.279,159.306,0.0,0.0
266,159.277,159.289,0.0,
267,159.279,159.288,0.0,
268,159.274,159.288,0.0,
269,159.275,159.286,0.0,
270,159.273,159.287,0.0,
271,159.273,159.336,0.003,
272,159.275,159.354,0.006,
273,159.282,159.362,0.006,
274,159.283,159.36,0.005,
275,159.274,159.318,0.001,
276,159.271,159.297,0.0,
277,159.28,159.26,0.0,0.001
